code,name,country,municipality
SLRA,San Ramón Airport,BO,San Ramón / Mamoré
SLRB,Roboré Airport,BO,Roboré
SLRI,Capitán Av. Selin Zeitun Lopez Airport,BO,Riberalta
SLRQ,Rurrenabaque Airport,BO,Rurrenabaque
SLRY,Reyes Airport,BO,Reyes
SLSA,Santa Ana Del Yacuma Airport,BO,Santa Ana del Yacuma
SLSB,Capitán Av. German Quiroga G. Airport,BO,San Borja
SLSI,Capitán Av. Juan Cochamanidis S. Airport,BO,San Ignacio de Velasco
SLSM,San Ignacio de Moxos Airport,BO,San Ignacio de Moxos
SLSR,Santa Rosa de Yacuma Airport,BO,Santa Rosa
SLSU,Juana Azurduy de Padilla Air Force Base,BO,Sucre
SLTI,San Matías Airport,BO,San Matías
SLTJ,Capitan Oriel Lea Plaza Airport,BO,Tarija
SLTL,San Cristóbal Toldos Airport,BO,Nor Lipez
SLTR,Teniente Av. Jorge Henrich Arauz Airport,BO,Trinidad
SLUY,Joya Andina International Airport,BO,Quijarro
SLVG,Capitán Av. Vidal Villagomez Toledo Airport,BO,Vallegrande
SLVM,Teniente Coronel Rafael Pabón Airport,BO,Villamontes
SLVR,Viru Viru International Airport,BO,Santa Cruz
SLYA,Yacuiba Airport,BO,Yacuíba
SMBN,Albina Airport,SR,Albina
SMCA,Cayana Airstrip,SR,Awaradam
SMCO,Totness Airport,SR,Totness
SMDA,Drietabbetje Airport,SR,Drietabbetje
SMDO,Ladouanie Airport,SR,Aurora
SMEG,Eduard Alexander Gummels Airport,SR,Kwatta
SMJP,Johan Adolf Pengel International Airport,SR,Paramaribo
SMMO,Moengo Airstrip,SR,Moengo
SMNI,Nieuw Nickerie - Major Henk Fernandes Airport,SR,Nieuw Nickerie
SMPA,Vincent Fayks Airport,SR,Paloemeu
SMST,Stoelmanseiland Airport,SR,Stoelmanseiland
SMTP,Tepoe Airstrip,SR,Kasikasima
SMWA,Wageningen Airstrip,SR,Wageningen
SMWS,Washabo Airport,SR,Washabo
SMZO,Zorg en Hoop Airport,SR,Paramaribo
SNAI,Fazenda Nossa Senhora das Graças Airport,BR,Jateí
SNAL,Arapiraca Airport,BR,Arapiraca
SNAR,Cirilo Queiróz Airport,BR,Almenara
SNBC,Barra do Corda Airport,BR,Barra do Corda
SNBL,Fazenda Agropecuária Camargos Airstrip,BR,Unaí
SNBR,Dom Ricardo Weberberger Airport,BR,Barreiras
SNBS,Balsas Airport,BR,Balsas
SNBU,Fazenda Alegria Heliport,BR,Funilândia
SNBX,Barra Airport,BR,Barra
SNCP,Planalto Serrano Regional Airport,BR,Correia Pinto
